disease_name,gene_name
Cognitive impairment,GABRA3; ADRB1; GABRP; CHRNA4; CA2; GABRG2; SLC6A3; GABRA2; GRIN2C; ADRB2; GRIN1; SCN5A; GABRD; GRIN3A; GRIN2D; GRIA2; SIGMAR1; CHRNB2; GABRB1; GRIK3; GRIK2; GRIK1; SCN8A; GRIN2B; GABRE; GABRA4; GRIA3; SCN2A; SCN7A; GABRA6; GRIA4; GABRB3; SCN9A; GABRG3; GRIN2A; ADRA2C; GABRA5; GABRQ; ADRA2B; SCN4A; GABRA1; ACHE; HRH3; GRIK5; SLC6A4; GHR; NR3C1; GRIN3B; CNR1; SCN1A; GABRB2; GRIK4; ADRA2A; SCN3A; GRIA1; GABRG1; CA4; SCN11A; SCN10A
Constipation,FGF1; OPRD1; CACNA1C; HTR4; SCN11A; SCN9A; HTR3C; SCN10A; HTR3E; CACNA1S; OPRK1; CLCN2; SCN2A; SCN7A; SCN1A; FGFR4; HTR3D; SCN4A; CACNA1F; HTR3B; SCN3A; CACNA1D; HTR3A; SCN8A; OPRM1; KLB; SCN5A
Coronary Restenosis,FKBP1A; TUBB2B; TUBB6; TUBB; TUBB4B; TUBB4A; TUBB2A; TUBB8; TUBB1; TUBB3
Cough,P2RX3; TRPV4; GABRG1; GABRA5; GABRA3; GABRA1; OPRK1; OPRM1; SCN2A; SCN1A; CACNA2D1; SCN11A; SCN9A; TRPV1; SCN4A; GABRG2; OPRD1; SCN7A; ADRA2A; GABRA2; GABRG3; SCN10A; SCN8A; SCN3A; SCN5A; ADRA2C; ADRA2B
Crohn's disease,CX3CL1; GABRA3; PDE4A; POLE2; PDE4C; ATP4A; POLD2; VDR; PDE10A; IL12B; PDE4D; ITGA4; CNR1; TNFSF11; PPARG; PDE5A; ITGB7; IL18; GABRA2; PDE3B; PDE1C; PDE6D; CACNA1D; PDE9A; GABRG1; RRM1; VKORC1; ADORA2B; PDE7B; S1PR5; PDE4B; GABRA5; HDAC2; S1PR3; ADORA3; GABRA1; PDE8A; CACNA1S; PDE6C; IL2RB; SMAD7; GABRG2; NR3C1; CRBN; PIKFYVE; HDAC1; FAAH; S1PR4; PPAT; PDE6A; CUL4A; SIGMAR1; DDB1; CD52; PDE3A; PDE6G; TRPV1; PDE7A; POLD1; PTGS2; POLA1; HMGCR; PDE8B; CSF3R; PDE1B; IL2RA; SLC5A2; CACNA1C; CD3G; HDAC3; POLD4; POLE; GRIN2A; CSF2RA; TNF; POLA2; POLD3; HDAC6; PTGS1; RBX1; CACNA1F; IL23A; PDE1A; TNFSF14; ADORA2A; PDE6B; PDE6H; ESR2; PRIM2; POLE3; MS4A1; ADORA1; CD3D; S1PR1; CCR9; GABRG3; PDE2A; HRH1; PRIM1; CD3E; S1PR2
Cutaneous T-cell lymphoma,HDAC10; POLE2; EZH2; MMP8; TUBB2B; MMP13; RRM1; PIK3CD; POLD4; TUBB4B; TUBB; POLA2; POLD1; RARB; POLD3; POLA1; TLR8; TNFRSF8; DNMT1; MMP7; HDAC8; POLE3; TUBB6; HDAC2; TLR7; PRIM1; RXRB; TLR9; KIR3DL2; TUBB8; HDAC6; GSR; TUBB4A; POLD2; HDAC5; NR3C1; HDAC1; CD274; RXRG; BCL2; RARG; POLE; RXRA; DHFR; HDAC9; HDAC7; HDAC4; TUBB1; PIK3CG; CSF3R; DNMT3A; TOP2A; RARA; TUBB2A; PRIM2; HDAC11; PLK1; HDAC3; PDCD1; MMP1; TUBB3
Digestive System Carcinoma,ADRB1; POLA1; TEK; RAF1; IL2RA; PDGFRA; KIT; POLE; DPYD; NTRK1; FLT4; IL2RB; POLE2; VEGFA; PDGFRB; POLD4; TYMS; MAPK11; POLA2; FGFR1; FLT1; POLD2; CD274; PRIM2; POLE3; DDR2; RET; MAP2K1; PDCD1; POLD1; FGFR2; POLD3; FKBP1A; ABL1; FRK; CSF3R; MAP2K2; KDR; EPHA2; BRAF; RRM1; ADRB2; TLR7; PRIM1; TOP1; TLR9
Duchenne muscular dystrophy,PDE4A; NDUFB2; PDE4D; NR3C1; PDE1B; PDE6H; NDUFC2; NR3C2; NDUFV3; NDUFAF2; NDUFB6; NDUFV1; NDUFS5; ADORA2B; NDUFA3; PDE4B; NDUFA4; MT-ND5; MT-ND3; MT-ND1; DMD; NDUFS1; PDE8A; PTGS2; ESR1; PDE6C; NDUFC1; NDUFS7; NDUFA8; NDUFA1; PDE6B; NDUFAF1; NDUFA9; NDUFS6; UTRN; NDUFB8; PDE7B; NDUFA11; NDUFAF3; NDUFB1; NDUFA12; NDUFA6; PDE6G; NDUFA13; PDE2A; PDE7A; NFKB1; NDUFS8; nan; ADORA2A; NDUFA2; NDUFB5; NDUFB10; PDE1C; NDUFS2; PDE9A; PDE3A; NDUFV2; NDUFA4L2; NDUFAB1; GUCY1B1; NDUFB4; NFKB2; PTGS1; NDUFB7; PDE4C; PDE10A; PDE8B; GPD2; PDE1A; NDUFB3; NDUFAF4; NDUFA5; NDUFA10; PDE6A; PDE5A; NDUFB11; NDUFB9; PDE3B; PDE6D; NDUFS4; RELA; MT-ND6; MT-ND2; MT-ND4; MT-ND4L; NDUFS3; NDUFA7
Dupuytren Contracture,COL5A1; COL2A1; COL6A2; COL24A1; COL5A2; COL15A1; COL6A6; COL28A1; COL1A1; COL1A2; COL3A1; COL18A1; COL4A1; COL4A6; COL11A1; COL5A3; COL4A4; COL6A5; COL27A1; COL11A2; COL4A2; COL6A1; COL6A3; COL4A3; COL4A5
Ebola hemorrhagic fever,FLT4; HMGCR; PDGFRA; FLT1; RET; FLT3; KDR; AGTR1; EGFR; KIT; CSF1R; PDGFRB
Elevated hepatic transaminase,NR1H4; NDUFS1; NDUFB2; NDUFB7; NDUFC1; NDUFS7; NDUFA9; NDUFB10; NDUFS6; NDUFC2; NDUFB8; NDUFV1; NDUFS5; NDUFA4; MT-ND6; NDUFA7; NDUFB4; NDUFA1; NDUFA5; NDUFAF1; NDUFS2; NDUFV3; NDUFAF2; NDUFB6; NDUFAF3; NDUFV2; NDUFA13; MT-ND1; MT-ND4L; NDUFS3; NDUFA8; NDUFA2; NDUFB5; NDUFS4; NDUFA11; NDUFA12; MT-ND3; MT-ND4; NDUFAB1; NDUFS8; GPD2; NDUFB3; NDUFAF4; NDUFA10; NDUFB11; NDUFB9; NDUFA3; NDUFB1; NDUFA6; NDUFA4L2; MT-ND2; MT-ND5
Endometrial Clear Cell Adenocarcinoma,TUBB4A; TUBB2A; TUBB2B; TUBB4B; TOP2A; TUBB; MTOR; VEGFA; TUBB3; TUBB8; TUBB1; TUBB6
Endometrial Endometrioid Adenocarcinoma,CDK6; CDK4; HDAC3; TUBB4B; HDAC9; HDAC4; TUBB4A; HDAC11; TUBB6; TUBB; HDAC7; HDAC5; HDAC1; TUBB2A; CYP19A1; HDAC2; TUBB3; TUBB8; PGR; HDAC6; HDAC10; TUBB1; VEGFA; TUBB2B; HDAC8
Endometrial Hyperplasia without Atypia,NDUFAB1; GPD2; NDUFS7; NDUFA1; NDUFA5; NDUFA2; NDUFS6; NDUFS2; NDUFV3; NDUFS4; NDUFB6; NDUFV1; MT-ND5; MT-ND3; MT-ND4L; NDUFS3; NDUFB2; NDUFS8; NDUFB3; NDUFA10; NDUFA9; NDUFB11; NDUFA3; NDUFA11; NDUFA6; NDUFA13; MT-ND2; NDUFA8; NDUFAF4; NDUFB5; NDUFB9; NDUFAF2; NDUFB1; NDUFA12; NDUFA4L2; MT-ND6; NDUFS1; NDUFB4; NDUFB7; NDUFC1; NDUFAF1; NDUFB10; NDUFC2; NDUFB8; NDUFS5; NDUFAF3; NDUFV2; NDUFA4; MT-ND4; MT-ND1; NDUFA7
Endometrial Mucinous Adenocarcinoma,TUBB4A; TUBB2A; TUBB2B; TUBB1; TUBB6; TUBB4B; TUBB3; TUBB8; VEGFA; TUBB
Endometrial Serous Adenocarcinoma,TUBB1; PARP2; TUBB2B; PARP1; TUBB6; PARP3; TUBB4A; TUBB4B; TUBB8; RRM2B; TUBB2A; ERBB2; TUBB; MTOR; TUBB3; VEGFA; TOP2A; RRM1; TOP1
Endometrial Undifferentiated Carcinoma,TUBB3; TUBB2A; TUBB; TUBB1; TUBB2B; TUBB4A; VEGFA; TUBB6; TUBB4B; TUBB8
Epstein-Barr virus-positive diffuse large B-cell lymphoma of the elderly,XPO1; NR3C1; TUBB2A; TUBB6; TUBB8; TUBB4A; TOP2A; MS4A1; TUBB1; TUBB2B; TUBB4B; TUBB; TUBB3
Ewing sarcoma,FLT4; POLD1; POLD2; PDGFRB; PARP1; TUBB4B; TUBB; PRIM1; TOP1; TUBB3; IFNGR1; TUBB1; CDK6; KDR; PARP2; TOP2A; PRIM2; POLE3; IFNGR2; TUBB6; TOP1MT; POLA2; PARP3; POLE2; CDK4; TUBB2A; TUBB2B; IGF1R; KIT; POLD3; POLA1; TUBB4A; CSF3R; TNFRSF10B; RRM1; POLD4; POLE; PDCD1; TUBB8
Fallopian Tube Carcinoma,PARP1; GART; PDCD1; CSF2RA; TOP1; PARP3; POLD1; POLD3; XPO1; FKBP1A; TUBB1; POLA1; TUBB4A; AKT2; MET; HBEGF; CD274; PARP2; POLD4; POLE; DHFR; TUBB3; POLD2; VEGFA; AKT3; IDO1; IL2RA; TUBB2A; TUBB2B; PRIM2; POLE3; CTLA4; RRM1; TUBB6; TYMS; MTOR; POLA2; IL2RB; POLE2; KDR; TOP2A; AKT1; TOP1MT; TUBB4B; TUBB; PRIM1; TUBB8
Fallopian Tube Carcinosarcoma,TUBB4A; TUBB6; TUBB1; PARP2; TUBB2B; TUBB8; PARP3; VEGFA; TUBB2A; PARP1; TUBB4B; TUBB; TUBB3
Fallopian Tube Serous Adenocarcinoma,BIRC3; BIRC2; TUBB6; TUBB; VEGFA; TUBB3; TUBB1; TUBB4A; PARP2; TUBB2A; TUBB2B; TUBB4B; TUBB8; PARP1
Fanconi anemia,POLE2; NR3C1; POLD4; POLE; IMPDH2; DHFR; TNF; POLA2; POLA1; IMPDH1; RRM1; AR; PPIA; PRIM1; POLD3; PGR; CSF3R; CXCR4; POLE3; CD52; POLD1; POLD2; PRIM2; MS4A1
Fatigue,PTGS2; PTGS1; ALDH2; GRIN2A; GRIN3A; GRIN2B; GRIN3B; GRIN2D; GRIN2C; GRIN1; SLC6A2; SLC6A3
Fibrolamellar Carcinoma,FLT3; KDR; RAF1; RET; FLT1; PDGFRB; KIT; BRAF; FLT4; VEGFA; CD274; TYMS; PDCD1
Fish-eye disease,CACNA1S; ATP4A; SCN1A; CACNA1C; SCN3A; PTGS1; CACNA1F; HTR2A; SCN7A; CACNA1D; SCN9A; SCN4A; DRD4; PTGS2; ACHE; SCN2A; DRD3; SCN11A; SCN5A; SCN10A; ADRB1; SLC12A3; IMPDH1; HTR2C; DRD2; ACE; HTR3A; IMPDH2; HRH1; SCN8A
"Genital neoplasm, female",TUBB1; FLT4; FKBP1A; FLT1; KDR; PDGFRA; TUBB8; TUBB2A; TUBB6; TOP1MT; TUBB4B; TUBB3; FGFR2; FGFR3; FGFR1; TUBB4A; PDGFRB; TUBB2B; FGFR4; TUBB
Glycogen storage disease due to acid maltase deficiency,SCN4A; FKBP1A; SCN1A; MS4A1; SCN5A; PTGS2; SCN2A; SCN11A; HRH1; ACHE; PTGS1; SCN3A; ADRB2; TRPV1; SCN8A; FAAH; SCN7A; SCN9A; SCN10A
HER2 Positive Breast Carcinoma,TUBB4A; ERBB2; TUBB; TUBB1; TUBB2A; TUBB2B; PARP1; TUBB4B; TUBB3; TNFRSF9; PARP2; TUBB6; TUBB8
HIV infection,CD4; GABRA3; CYP3A43; NDUFS1; HDAC9; PDE4A; ACHE; HDAC6; HDAC10; CACNA1F; GHRHR; CYP3A5; HDAC5; NR3C1; HRH2; CRBN; IL1R1; CNR1; NDUFB3; TNFRSF8; NDUFAF4; ADORA2A; MAS1; NDUFA10; IL2RA; SCN2A; SCN7A; TUBB2A; TUBB2B; PDE5A; NDUFA9; CUL4A; AGTR1; NDUFS6; PDE3B; GUCY1A2; IFNAR2; IFNGR2; IL6R; CYP3A4; CYP3A7; NOS3; P2RY12; PDE7B; HDAC3; TUBB6; NDUFB1; PDE4B; GABRA5; PPARA; TUBB4B; PDCD1; NDUFA4; MT-ND2; RXRB; DHFR; MGAM; TUBB8; NDUFA7; ALOX5; ATP1A2; GABRA1; HDAC7; NDUFB4; PTGS2; PGR; OPRK1; NOS1; NDUFB2; PTGS1; TLR8; GNRHR; NDUFC1; ALDH2; ALDH5A1; CXCR4; nan; NDUFA5; PPARG; ATP1A4; APCS; PDE6A; CHRM3; PDE6B; NCBP1; RXRG; SCN1A; NDUFB9; UGCG; PDE1C; CACNA1D; PDE9A; ATP1A1; ADORA1; GUCY1A1; NDUFV1; DDB1; NDUFS5; SCN9A; ADORA2B; NDUFA3; NDUFV2; GABRG3; GRIN2A; SCN5A; NDUFA6; NDUFA13; TLR7; CSF2RA; MT-ND4; PDE7A; TNF; TLR9; MGAM2; NOS2; ADRB1; PDE8A; SI; RBX1; PSMB5; ATP1A3; NDUFS8; OPRM1; SLC29A1; HMGCR; PDE8B; GABRG2; PDE4D; TACR1; HDAC1; NDUFA1; RARA; NDUFB5; ITGB7; NDUFB10; CACNA1C; PDE6D; NDUFS2; NDUFV3; HDAC11; NDUFB6; SCN11A; GAA; F2R; SCN10A; NDUFA4L2; PDE2A; EPOR; HDAC2; MT-ND6; MT-ND3; ADORA3; NDUFAB1; SCN4A; NPC1L1; IFNGR1; GUCY1B1; HDAC4; RARB; CACNA1S; PTHLH; ESR1; PDE6C; NDUFB7; IL2RB; TUBB1; DHODH; TUBB4A; PDE4C; ATP4A; IMPDH1; VDR; PDE10A; NCBP2; GPD2; ITGA4; PDE1A; NDUFS7; NDUFA8; CSF3R; PDE1B; NDUFA2; NDUFAF1; PDE6H; IFNAR1; HDAC8; NDUFB11; SIGMAR1; NDUFC2; GABRA2; SCN3A; CCR5; GABRG1; CTLA4; NDUFAF2; NDUFS4; TLR3; NDUFB8; RRM2; PDE3A; RARG; CYSLTR1; NDUFA11; NDUFAF3; NDUFA12; PDE6G; RXRA; TUBB; SCN8A; MT-ND5; MT-ND1; MT-ND4L; NDUFS3; TUBB3
HIV-1 infection,CD4; HDAC9; HDAC7; OPRM1; HMGCR; HRH2; CRBN; CNR1; CSF3R; IL2RA; DDB1; HDAC2; FKBP1A; ESR1; HDAC6; IL2RB; HDAC10; ATP4A; ALDH5A1; DNMT3A; DNMT1; ITGB7; IFNAR2; CCR5; BCL2; PGR; RBX1; TLR8; HDAC1; CCR2; CUL4A; IFNAR1; HDAC3; CYP3A43; HDAC4; CYP3A5; HDAC5; GHR; ITGA4; HDAC8; CYP3A4; CYP3A7; HDAC11; PDCD1; TLR7; CSF2RA
Henoch-Schoenlein purpura,PDE10A; SERPINC1; PDE6D; PDE8A; PDE8B; PDE1B; PDE6A; PDE6H; PDE3B; PDE1C; PDE9A; PDE4B; PDE4A; PDE6C; PDE4C; SLC29A1; NR3C1; PDE6B; PDE5A; ACE; PDE7B; PDE3A; PDE7A; PDE4D; PDE1A; PDE6G; PDE2A
"Hepatitis, Alcoholic",PDE10A; PDE6H; PDE3B; PDE1C; PDE7B; PDE8A; PDE4C; ADORA2A; PDE6A; PDE6D; PDE4B; PDE4A; PDE6C; PDE5A; PDE3A; PDE2A; IL10RB; PDE8B; PDE4D; PDE1A; PDE1B; PDE6B; IL22RA1; PDE9A; ADORA2B; PDE6G; PDE7A
Hepatoblastoma,POLA2; POLE3; RRM1; POLD1; PRIM2; POLD3; POLE2; POLA1; POLD4; PRIM1; POLD2; POLE
Hepatopulmonary Syndrome,PDE4A; PDE3B; PDE9A; ADRA1B; PDE3A; PDE4B; PDE2A; PDE7A; PDE8A; PDE6C; PDE10A; PDE4D; ADORA2A; PDE6B; ADORA2B; PDE7B; ADRA1D; PDE4C; PDE1B; PDE5A; PDE6H; PDE1C; PDE6D; PDE6G; PDE8B; PDE1A; ADRA1A; PDE6A
Hereditary breast and ovarian cancer syndrome,PARP3; POLA1; PARP2; CDK4; TUBB2B; AKT1; PARP1; PRIM2; TUBB8; POLA2; TUBB1; GSR; TUBB4A; POLD2; TUBB; PRIM1; MTOR; POLD1; POLD3; POLE2; AKT2; AKT3; POLE3; RRM1; TUBB6; POLE; TUBB4B; ESR1; CDK6; TUBB2A; ESR2; POLD4; TOP1; TUBB3
