disease_name,gene_name
Acute kidney injury,GABRA3; GSK3B; KCNK10; PDE4C; MET; HMGCR; PDE4D; TNNC1; PTGER2; AVPR2; ADORA2A; TNNI3; IMPA1; MTNR1B; PDE5A; SLC5A2; GABRA6; ADRA2A; GABRA2; PDE3B; PDE9A; GABRG1; ADORA1; AVPR1A; NPR1; KCNK9; ADRA1B; ADRA1D; PDE6G; PDE2A; PPIA; AVPR1B; PDE7A; MC1R; GABRQ; GABRA1; PDE4A; PDE8A; SLC12A1; GABRP; GABRE; GSK3A; PDE10A; PDE8B; GABRG2; PDE1A; SERPINC1; TNNT2; ADRA1A; MC3R; TP53; XDH; GABRB3; INSR; PDE7B; PDE3A; GABRA5; KCNK18; EPOR; ADORA3; NPC1L1; KCNK2; PDE6C; FGF1; PDE1B; PDE6A; PDE6B; PDE6H; GABRB2; GLRA1; NR3C2; PDE6D; GABRB1; MTNR1A; ADORA2B; GABRG3; ADRA2C; PDE4B; DRD1; GABRD; ADRA2B; GUCY1B1; GABRA4; VDR; nan; AGTR1; PDE1C; PTGER1; KCNK3
Adenomyosis,DRD4; GNRHR; PTGS2; PGR; PTGS1; NR3C1; FAAH; DRD3; OXTR; TRPV1; ESR1; DRD2; CYP19A1
Agitation,SCN4A; GABRA3; GABRA1; KCNK10; GABRA4; OPRM1; ALDH5A1; GABRG2; GRIN3B; SCN7A; SCN1A; HTR2C; DRD2; ADRA2A; DRD3; GABRA2; GABRG1; GRIN1; GABRG3; SCN5A; ADRA2C; GABRA5; ADRA2B; DRD4; KCNK2; HTR2A; GRIN2D; SLC6A4; MTNR1B; SCN2A; GRIN2C; SCN11A; SCN9A; CHRNA7; HTR1A; CHRNG; SCN8A; GABRP; GABRE; CHRNE; OPRD1; CHRND; CHRNA1; GABRA6; GLRA1; SCN3A; HTR4; GABRB3; MTNR1A; GRIN2A; GABRD; GABRQ; GRIN2B; OPRK1; GABRB2; GABRB1; CHRM1; KCNK9; CHRNB1; KCNK3; SCN10A; KCNK18; GRIN3A
Airway obstruction,PDE4C; PDE4D; ADRA1A; TUBB2A; ADRB2; ADRA1B; TUBB6; ADRA2C; PDE4B; IGHE; TUBB3; ADRA2B; ADORA3; ADRB1; PDE10A; IL5; ADORA2A; PDE3B; CYSLTR1; TUBB4B; TUBB8; PDE4A; TUBB1; NR3C1; TUBB2B; TSLP; ADORA1; ADORA2B; ADRA1D; PDE3A; TUBB; IL5RA; TUBB4A; CHRM3; PDE5A; ADRA2A; CHRM1; ADRB3
Albright hereditary osteodystrophy,GHR; PDE4D; ADORA2B; PDE4A; PDE4C; PDE3B; ADORA1; ADORA2A; PDE3A; PDE4B; ADORA3
Alport syndrome,RPS20; RPLP0; RPL18A; NDUFC1; RPL34; GPD2; RPS15; NFE2L2; NDUFAF4; RPL23; RPLP1; RPS24; NDUFB10; RPS3A; NDUFB11; RPL7A; FAU; NDUFV3; NDUFAF2; RPL13; RPS21; RPL38; NDUFV2; RPS17; NDUFA12; NDUFA6; NDUFA4L2; RPL23A; MT-ND5; MT-ND3; MT-ND1; MT-ND4L; RPS29; KEAP1; NDUFS8; RPS25; PPARG; RPL35; RPS6; NDUFA9; RPS2; RPS11; RPL32; AGTR1; NDUFS6; RPS3; RPL30; NDUFS2; NDUFS4; NDUFB6; RPL4; NDUFAF3; RPL35A; RPL10A; MT-ND2; MT-ND4; NDUFS3; RPL41; RPS18; RPS28; RPL17; NDUFA7; NDUFAB1; RPL18; NDUFB4; RPL6; NDUFB2; NDUFB7; RPL3; RPS19; RPS13; RPS12; RPL24; NDUFS7; RPL22; NDUFB3; NDUFA8; RPL21; RPL5; NDUFA5; RPS4Y1; NDUFA10; RPL27; RPL11; RPL10; RPL7; NDUFB9; RPL26; RPL9; RPS14; NDUFB8; RPSA; RPS9; RPL15; RPS27; RPS23; RPL14; RPL37A; RPS4X; MT-ND6; RPL36A; NDUFS1; RPL31; RPS5; IKBKB; RPS16; RPL28; RPL19; HMGCR; RPS10; NDUFA1; RPL36; NDUFA2; RPS15A; NDUFB5; NDUFAF1; RPL13A; RPS8; RPS27A; RPL37; NDUFC2; ACE; RPL8; RPL29; RPL27A; NDUFV1; NDUFS5; NDUFA3; RPS7; NDUFA11; NDUFB1; NDUFA13; NDUFA4; RPS26; RPL12; RPL39; nan
Alzheimer disease,SCN4A; FGFR3; MAOB; DRD4; RARB; PSEN1; CACNA1S; ACHE; ESR1; PTGS1; RBX1; HRH3; CHRNA4; HTR2A; SLC6A2; SLC6A4; FRK; PPARD; MAPK14; ALDH5A1; GABRG2; PDE4D; BCHE; APH1A; HSD11B1; GRIA2; CHRNA10; MTNR1B; BLK; HCRTR2; APH1B; APP; SLC6A3; PSEN2; GABRA6; GABRB2; PLA2G7; DRD3; GABRA2; CACNA2D1; HTR6; IFNAR2; ACE; PDE9A; NCSTN; GABRB3; MTNR1A; CHRM1; ADRB2; CHRNA5; RARG; CHRNA7; YES1; GRIN1; HTR1A; GABRG3; GRIN2A; ADRA2C; GABRA5; BACE1; BCR; GRIN3A; AGER; GABBR1; TNF; GRIN2B; GABRA3; GABRA1; PTGS2; PGR; HDAC6; ABL1; IL2RB; GABRE; ATP4A; GSK3A; SERPINE1; GABRA4; VDR; HMGCR; NR3C1; PDGFRB; CRBN; GRIN3B; HDAC1; MMP8; SRMS; ADORA2A; IL2RA; SCN2A; GABBR2; CUL4A; ESR2; EPHA2; RXRG; SCN1A; AGTR1; HTR2C; CHRNA6; SIGMAR1; HTR3B; ADRA2A; GRIA4; SCN3A; CACNA1D; KIT; GRIN2C; ADORA1; HTR4; PAH; SCN10A; RXRA; PPARA; GABRD; ADRB3; MAOA; MMP1; SCN8A; SRC; GABRQ; ADRA2B; FGR; FYN; GRIN2D; GLP1R; FAAH; CNR1; CSF3R; ADRA1A; HCRTR1; PDE5A; SLC5A2; IFNAR1; CACNA1B; DRD2; CACNA1C; GRIA1; GABRG1; HTR3A; DDB1; SCN11A; SCN9A; ADORA2B; INSR; ADRA1D; CYSLTR1; HTR3C; CHRM2; LCK; SEMA4D; TRPV1; FLNA; RXRB; PSENEN; LYN; CD38; ADRB1; GSK3B; CETP; GABRP; HCK; CACNA1F; GNRHR; GRIA3; RARA; PPARG; CHRM3; IMPA1; PDGFRA; SCN7A; MMP7; MMP13; SV2A; CHRNB2; GABRB1; VKORC1; ADRA1B; HDAC3; PDE3A; CHRNA9; SCN5A; HTR3E; HTR3D; MAPT; HDAC2; CSF2RA; ADORA3
Anal Squamous Cell Carcinoma,TUBB4A; TUBB2A; CTLA4; PDCD1; TUBB1; TUBB6; TYMS; TUBB4B; TUBB2B; TUBB; TUBB3; TUBB8
"Anemia, Hemolytic, Autoimmune",FCGR2B; PSMB5; NR3C1; PIK3CD; CD38; IL2RA; MS4A1; CD19; PPIA; IL2RB; SYK; CD52; C1S; BTK; FKBP1A; FCGRT; TNFRSF13C
Angelman syndrome,GABRA3; GABRA1; DDC; GABRA4; GABRA6; GABRB2; GABRA2; GABRB3; GABRB1; DRD3; GABRA5
Anorexia,TUBB2A; HTR2C; DRD2; DRD3; HTR3A; TUBB; DRD4; PGR; ALDH5A1; CNR1; ADRA2A; HTR4; ADRA2C; TUBB8; TUBB1; HTR2A; TUBB2B; TUBB6; TUBB4A; TUBB4B; TNF; TUBB3; ADRA2B
Aphasia,ACHE; CACNA1B; DRD3; GRIN3A; SLC6A4; GRIN1; GRIN2A; GRIN2B; GRIN3B; DDC; GRIN2D; SV2A; GRIN2C
Aplastic anemia,POLD1; POLD3; TGFB2; POLE2; POLA1; NR3C1; CD2; CSF3R; TGFB3; PRIM2; POLE3; MS4A1; RRM1; CD52; POLE; PPIA; MPL; CXCR4; DNMT1; IL2RA; AR; POLD4; PRIM1; CD38; POLA2; FKBP1A; TGFB1; IMPDH1; POLD2; DNMT3A; IMPDH2; DHFR; PGR
Apnea,ADORA1; HTR1A; ADORA3; CA2; ADORA2A; PDE3B; CA4; ADORA2B; KCNK3; PDE4B; PDE4A; CA12; KCNK9; PDE3A; PDE4C; PDE4D; CA1
Arthralgia,PTGS2; XDH; ADRA1B; ADRA1D; HRH1; PTGS1; NR3C1; ADRA2A; ADRA2C; TRPV1; ALOX5; HRH2; CNR1; ADRA1A; TRPA1; TRPM8; ADRA2B
Arthropathy,PTGS2; CHRND; SCN2A; SCN7A; SCN3A; SCN9A; SCN8A; SCN4A; CHRNE; CNR1; PLG; CHRNA1; SCN1A; OPRK1; OPRM1; NR3C1; SCN11A; CHRNB1; SCN5A; OPRD1; SCN10A; CHRNG
Ascites,NDUFB7; VEGFA; ADRA1A; KDR; NDUFA9; NDUFS6; NDUFAF2; NDUFB6; NDUFB8; NDUFS5; NDUFA3; PDCD1; MT-ND4; NDUFAB1; NDUFS1; FLT4; ADRB1; NDUFS8; PDGFRB; NDUFA8; PDGFRA; NDUFAF1; NDUFB10; NDUFC2; KIT; NDUFS4; RET; NDUFAF3; NDUFV2; NDUFA12; NDUFA6; NDUFA4; MT-ND5; MT-ND3; MT-ND1; NDUFB2; FLT1; NDUFC1; NDUFS7; NDUFB3; EPCAM; FLT3; NDUFA1; AVPR2; NDUFB11; NDUFB9; CD3G; ADRB2; ADRA1B; ADRA1D; NDUFA11; CSF1R; NDUFA13; CD3E; NDUFA7; NDUFB4; GPD2; NDUFAF4; NDUFA5; NDUFA10; NDUFA2; NDUFB5; SLC5A2; NDUFS2; NDUFV3; CD3D; NDUFV1; NDUFB1; NDUFA4L2; MT-ND6; MT-ND2; MT-ND4L; NDUFS3
Asperger syndrome,HTR2C; DRD2; GRIN2C; GRIN1; GRIN3A; GRIN2B; HTR2A; SLC6A2; SLC6A4; GRIN3B; HTR1A; GRIN2A; GRIN2D
Ataxia-telangiectasia,NDUFB2; NDUFS7; NDUFA1; NDUFA2; PPARG; NDUFB10; NDUFB9; NDUFA4L2; MT-ND1; GPD2; NDUFB3; NDUFAF1; NDUFS6; NDUFB11; NDUFAF2; NDUFA3; NDUFA11; NDUFA13; MT-ND4; NDUFS1; NDUFC1; NDUFS8; NDUFA8; NDUFAF4; NDUFA9; NDUFC2; NDUFS2; NDUFV1; NDUFV2; NDUFB1; NDUFA12; NDUFA6; NDUFA4; MT-ND6; MT-ND5; NDUFS3; NDUFAB1; NDUFB4; NDUFB7; NDUFA5; NDUFA10; NDUFB5; NDUFV3; NDUFS4; NDUFB6; NDUFB8; NDUFS5; NDUFAF3; MT-ND2; MT-ND3; MT-ND4L; NDUFA7
Autoimmune Hepatitis,NR3C1; CD86; IMPDH2; FKBP1A; IMPDH1; CNR1; CD80; EPOR; PPIA; PPAT; TNFRSF13C
Autosomal dominant polycystic kidney disease,CACNA1S; NDUFB2; ABL1; NDUFB7; HCK; CACNA1F; IKBKB; NDUFS8; HMGCR; GPD2; NFE2L2; NDUFA8; NDUFA2; NDUFB5; NDUFAF1; NDUFB9; CACNA1D; NDUFV3; SSTR5; NDUFS4; NDUFB6; NDUFB8; NDUFV1; NDUFA3; NDUFAF3; NDUFV2; BCR; EPHB4; SRC; MT-ND2; SSTR3; SCNN1A; NDUFS7; NDUFB3; NDUFAF4; NDUFA1; PPARG; ERBB2; NDUFS6; NDUFB11; UGCG; NDUFC2; NR3C2; NDUFS2; ACE; NDUFA11; SSTR2; NDUFA12; NDUFA6; NDUFA13; MT-ND6; MT-ND3; MT-ND4; MT-ND1; MT-ND4L; NDUFS3; NDUFAB1; NDUFS1; FKBP1A; NDUFC1; AVPR2; NDUFA5; NDUFA10; SSTR4; SSTR1; SLC5A2; NDUFB10; CACNA1C; NDUFS5; NDUFB1; NDUFA4L2; NDUFA4; MT-ND5; LYN; NDUFB4; SLC12A3; KEAP1; NDUFA9; AGTR1; EGFR; NDUFAF2; NDUFA7
B-Cell Prolymphocytic Leukemia,POLA1; PRIM2; POLE; POLE2; POLD2; RRM1; PRIM1; POLA2; POLD1; POLD3; IMPDH1; POLD4; IMPDH2; POLE3; PPIA
B-cell acute lymphoblastic leukemia,POLA2; POLD1; ABL1; TUBB4A; POLD2; CSF3R; PPAT; PRIM2; POLE3; MS4A1; CD3G; CD3D; POLD4; TUBB6; CD19; TUBB4B; PDCD1; PRIM1; CD3E; TUBB8; CD22; POLD3; POLE2; POLA1; TUBB2A; PTK2; BCL2; TUBB; TOP2B; PSMB5; TUBB1; NR3C1; TUBB2B; RRM1; CD52; POLE; PNP; DHFR; TUBB3; PDGFRB; TOP2A; KIT; XDH; IL6R; BCR
B-cell neoplasm,TOP2A; CUL4A; TOP2B; RBX1; CRBN; TUBB2B; DDB1; TUBB8; TUBB4A; NR3C1; TUBB2A; MS4A1; TUBB1; TUBB6; TUBB4B; TUBB; TUBB3
B-cell non-Hodgkins lymphoma,CD22; POLA2; CRBN; MS4A1; CD3G; CD3D; DDB1; POLE; CD19; PDCD1; RBX1; POLD2; PRIM2; RRM1; POLD4; POLE2; POLA1; PRIM1; POLD1; POLD3; CUL4A; POLE3; CD3E
Back pain,SCN4A; GABRA3; GABRA1; PTGS2; SLC6A2; DDC; CHRND; SCN2A; SCN1A; DRD3; GABRB1; CHRNB1; SCN5A; KCNK18; HRH1; SCN8A; ADORA3; GABRP; PTGS1; TRPA1; SLC6A4; GABRA4; OPRM1; NR3C1; PLG; NGF; SCN7A; TRPM8; GABRA2; FDPS; PTH1R; GABRG1; ADORA1; CHRM1; SCN9A; GABRG3; TRPV1; GABRQ; KCNK2; GABRE; ADORA2A; GABBR2; CHRNA1; GABRB2; GLRA1; SCN3A; KCNK3; CHRNG; OPRK1; KCNK10; CHRNE; GABRG2; FAAH; GABRA6; GABRB3; SCN11A; KCNK9; ADORA2B; SCN10A; GABRA5; GABRD; GABBR1
Bardet-Biedl syndrome,NDUFB3; NDUFAF4; NDUFB5; NDUFB10; NDUFA3; MT-ND6; MT-ND2; MT-ND5; NDUFAB1; NDUFB11; MC4R; NDUFV1; NDUFS5; NDUFA12; NDUFA4L2; MT-ND3; NDUFB2; NDUFS8; NDUFA8; NDUFB9; NDUFS2; NDUFV3; NDUFS4; NDUFA11; NDUFAF3; NDUFV2; NDUFA6; NDUFA13; NDUFA4; MT-ND4; MT-ND1; NDUFS1; NDUFB4; NDUFB7; NDUFC1; GPD2; NDUFS7; NDUFA1; NDUFA5; NDUFA10; NDUFA2; NDUFAF1; NDUFA9; NDUFS6; NDUFC2; NDUFAF2; NDUFB6; NDUFB8; NDUFB1; MT-ND4L; NDUFS3; NDUFA7
Barrett's esophagus,PTGS2; NDUFB2; ATP4A; HRH2; GPD2; NDUFA10; MTNR1B; NDUFS6; NDUFB6; NDUFV1; NDUFB1; NDUFA6; NDUFA4L2; MT-ND2; MT-ND5; MT-ND1; MT-ND4L; NDUFA7; NDUFS1; PTGS1; NDUFB7; NR3C1; NDUFA8; NDUFAF4; NDUFA1; NDUFA5; NDUFA2; NDUFAF1; NDUFC2; NDUFB8; NDUFA3; NDUFA11; NDUFAF3; NDUFV2; NDUFA13; MT-ND6; MT-ND4; NDUFAB1; NDUFB4; NDUFS8; VDR; NDUFS7; NDUFB5; AGTR1; NDUFB11; NDUFS2; NDUFV3; NDUFAF2; MTNR1A; NDUFA12; NDUFS3; NR1H4; NDUFC1; CCKBR; NDUFB3; NDUFA9; NDUFB10; NDUFB9; ACE; NDUFS4; NDUFS5; NDUFA4; MT-ND3
Becker muscular dystrophy,RPS5; RPLP0; RPL3; RPS16; RPL18A; RPL28; RPL19; RPL34; RPS13; RPS12; RPL24; RPS15; RPL22; RPS25; RPL21; RPL5; RPS10; RPL36; RPLP1; RPS2; RPS8; RPL32; RPS3A; RPL37; RPL10; RPL7; RPS3; FAU; RPL30; ACE; RPL26; RPL29; RPL9; RPS14; RPL27A; ADRA1B; RPS9; RPL38; RPL15; RPS27; RPS17; RPL35A; RPS26; RPL37A; RPL12; RPL10A; RPS29; RPL41; RPL36A; RPS20; RPL18; RPL31; RPS19; ADRA1A; RPL23; RPS4Y1; RPL27; RPL35; RPS6; RPS24; MSTN; PDE5A; RPS11; RPS27A; RPL8; RPL13; RPSA; ADRB2; RPL4; RPS4X; RPS18; RPS28; RPL17; ADRB1; RPL6; RPS15A; RPL13A; RPL11; RPL7A; RPS21; RPS7; ADRA1D; RPS23; RPL14; RPL23A; ADRB3; RPL39
Behcet's syndrome,TUBB4A; PDE4C; IL1B; IL6R; PDE3A; TUBB3; PDE4A; PDE8A; PDE6C; TUBB1; IL17A; PDE8B; IL12B; PDE4D; PDE1A; TUBB2A; TUBB2B; IFNAR1; IL18; PDE3B; MS4A1; PDE4B; TNF; CD80; PDE6A; PDE6B; IL2RA; PDE5A; PDE1C; PDE6D; IFNAR2; PDE9A; ADORA2B; PDE7B; TUBB6; PDE2A; PPIA; TUBB8; IL2RB; PDE10A; CD86; PDE1B; ADORA2A; PDE6H; PDE6G; TUBB4B; TUBB; PDE7A
Beta-thalassemia,POLD1; TGFB1; CSF3R; CUL4A; PRIM2; POLE3; DDB1; CD52; HBB; POLE2; POLA1; DNMT3A; PDE5A; POLD4; IMPDH2; PPIA; PRIM1; POLA2; ADRB1; FKBP1A; TGFB2; IMPDH1; POLD2; CRBN; TGFB3; CXCR4; DNMT1; RRM1; RRM2; POLE; EPOR; POLD3; RBX1; PKLR; PDE9A; FDPS; SLC6A9
Bilateral tonic-clonic seizure,SCN2A; CACNA1B; GRIA1; SV2A; SCN11A; SCN3A; SCN10A; SCN4A; GRIA2; GRIA3; GRIA4; SCN9A; SCN5A; SCN7A; SCN1A; CACNA2D1; SCN8A
"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",POLA2; PRKCQ; HDAC4; POLD3; HDAC6; ABL1; NR3C1; PDGFRB; HDAC1; FLT3; KDR; PRKCI; WEE1; RRM1; HDAC3; BCL2; DHFR; LYN; PRKCH; FLT4; HDAC9; POLD1; FKBP1A; POLE2; TUBB1; POLA1; HDAC5; DNMT3A; PRKCG; DNMT1; TOP2A; PDGFRA; HDAC8; PRKCA; PRKCD; POLD4; PRKD1; BCR; HDAC2; SRC; PRIM1; PRKCZ; POLD2; CSF3R; IL2RA; PRIM2; POLE3; MS4A1; AXL; PRKCE; TUBB6; TUBB3; TUBB8; CD22; HDAC7; IL2RB; HDAC10; HCK; FLT1; TUBB4A; PRKD3; TUBB2A; TUBB2B; KIT; HDAC11; PRKCB; POLE; TUBB4B; TUBB
Borderline personality disorder,MAOB; PTGS1; HTR2A; GRIN2D; SLC6A4; GABRG2; GRIN3B; OPRD1; FAAH; SCN2A; DRD2; SCN3A; SCN11A; GRIN2A; GABRA5; DRD4; PTGS2; NR3C1; HTR2C; GRIN2C; GABRG1; GRIN1; HTR1A; GABRG3; GABRA3; PGR; OPRK1; OPRM1; SCN7A; SCN1A; SCN9A; SCN5A; SCN10A; TRPV1; GRIN3A; SCN4A; GABRA1; SNAP25; DRD3; GABRA2; SCN8A; GRIN2B
Bradycardia,CHRNE; CHRM3; ADRA2C; ADRB3; ADRB1; CHRND; CHRNA1; ADRA2A; ADRB2; CHRNB1; CHRM1; CHRM2; ADRA2B; ADRA1A; ADRA1B; ADRA1D; CHRNG
Brain Stem Glioma,POLA1; POLD2; EGFR; POLE3; POLD4; PRIM1; POLD1; POLD3; POLE2; RRM1; CSF2RA; POLA2; PRIM2; POLE
Bronchiectasis,PDE4A; CTSC; NR3C1; PDE3B; ADRB2; PDE4B; ELANE; PDE4C; ADORA2A; CHRM3; ADORA1; IL5RA; VDR; HMGCR; PDE4D; ADORA2B; PDE3A; ADORA3; CHRM1
Bronchiolitis,SLC12A1; ADRA1A; nan; ADRA1B; ADRA1D; CYSLTR1; ADRA2B; ADRB1; GUCY1B1; NR3C1; ADRB3; VDR; ADRA2A; ADRB2; ADRA2C
Bronchospasm,GRIN2D; OPRM1; NR3C1; ADRB2; CYSLTR1; GRIN2A; GRIN3A; GRIN2B; GRIN3B; CHRM3; GRIN2C; GRIN1
Brugada syndrome,KCNQ2; KCND1; KCNA7; KCNS1; KCNC3; KCNH3; KCNB1; KCNF1; KCNG4; KCNH8; KCNQ3; KCND2; KCNH7; KCNQ1; KCNA1; KCNA5; KCNH5; KCNA10; KCND3; KCNA2; KCNG2; KCNG1; KCNC4; KCNQ4; KCNC1; KCNH1; KCNA6; KCNS2; KCNC2; KCNS3; KCNH6; KCNB2; SCN5A; KCNQ5; KCNH2; KCNH4; KCNV1; KCNV2; KCNG3; KCNA3; KCNA4
Burkitts lymphoma,BTK; CD22; RARB; FKBP1A; HDAC6; IL2RB; HDAC10; POLE2; TUBB1; POLA1; TUBB4A; IMPDH1; CRBN; HDAC1; CSF3R; PPAT; DNMT1; TOP2A; TUBB2A; CD3D; IMPDH2; TUBB4B; TUBB; PRIM1; TOP1; LYN; TUBB3; HDAC7; POLD1; HDAC4; TOP2B; ABL1; HCK; POLD2; NR3C1; SRMS; IL2RA; BLK; PRIM2; MS4A1; HDAC11; RRM1; DDB1; RARG; POLD4; TUBB6; BCR; PPIA; SRC; CSF2RA; CD3E; TUBB8; POLA2; HDAC9; HSP90AA1; AURKA; HSP90AB1; PSMB5; HDAC5; DNMT3A; TUBB2B; EPHA2; HDAC8; POLE3; KIT; CD3G; HDAC3; BCL2; POLE; CD19; LCK; HDAC2; DHFR; FGR; FYN; POLD3; RBX1; FRK; ALDH5A1; PDGFRB; RARA; CUL4A; YES1
CDKL5 disorder,GABRG2; GABRB3; GABRG3; GABRD; GABRA4; GABRA2; GABRG1; GABRA5; GABRA1; GABRE; GABRA6; GABRB1; GABRQ; GABRA3; GABRP; GABRB2
