disease_name,gene_name
Alport syndrome,RPS20; RPLP0; RPL18A; RPL34; RPS15; NFE2L2; RPL23; RPLP1; RPS24; RPS3A; RPL7A; FAU; RPL13; RPS21; RPL38; RPS17; RPL23A; RPS29; KEAP1; RPS25; PPARG; RPL35; RPS6; RPS2; RPS11; RPL32; AGTR1; RPS3; RPL30; RPL4; RPL35A; RPL10A; RPL41; RPS18; RPS28; RPL17; RPL18; RPL6; RPL3; RPS19; RPS13; RPS12; RPL24; RPL22; RPL21; RPL5; RPS4Y1; RPL27; RPL11; RPL10; RPL7; RPL26; RPL9; RPS14; RPSA; RPS9; RPL15; RPS27; RPS23; RPL14; RPL37A; RPS4X; RPL36A; RPL31; RPS5; IKBKB; RPS16; RPL28; RPL19; HMGCR; RPS10; RPL36; RPS15A; RPL13A; RPS8; RPS27A; RPL37; ACE; RPL8; RPL29; RPL27A; RPS7; RPS26; RPL12; RPL39; nan
Alzheimer disease,SCN4A; MAOB; RARB; ACHE; PTGS1; RBX1; HRH3; CHRNA4; SLC6A2; FRK; PPARD; MAPK14; ALDH5A1; GABRG2; PDE4D; BCHE; APH1A; HSD11B1; GRIA2; MTNR1B; BLK; HCRTR2; APP; GABRA6; GABRB2; PLA2G7; DRD3; GABRA2; HTR6; IFNAR2; ACE; PDE9A; GABRB3; MTNR1A; CHRM1; ADRB2; CHRNA5; RARG; CHRNA7; YES1; HTR1A; GABRG3; GRIN2A; GABRA5; BACE1; BCR; GRIN3A; GABBR1; TNF; GRIN2B; GABRA3; GABRA1; FGFR3; DRD4; PTGS2; PSEN1; PGR; ESR1; HDAC6; ABL1; IL2RB; GABRE; ATP4A; GSK3A; SERPINE1; GABRA4; HMGCR; NR3C1; CRBN; GRIN3B; HDAC1; SRMS; IL2RA; SCN2A; APH1B; CUL4A; ESR2; SLC6A3; EPHA2; RXRG; PSEN2; AGTR1; CHRNA6; HTR3B; ADRA2A; GRIA4; SCN3A; KIT; GRIN2C; NCSTN; ADORA1; HTR4; PAH; GRIN1; ADRA2C; RXRA; PPARA; GABRD; MAOA; SRC; GABRQ; ADRA2B; FGR; FYN; HTR2A; GRIN2D; SLC6A4; PDGFRB; CNR1; CSF3R; HCRTR1; SLC5A2; IFNAR1; CACNA1B; DRD2; GRIA1; GABRG1; HTR3A; DDB1; SCN11A; SCN9A; INSR; CYSLTR1; HTR3C; CHRM2; LCK; SCN10A; SEMA4D; SCN8A; FLNA; RXRB; LYN; CD38; GSK3B; CETP; GABRP; HCK; GNRHR; GLP1R; GRIA3; ADORA2A; RARA; PPARG; CHRM3; IMPA1; PDGFRA; SCN7A; GABBR2; SCN1A; SIGMAR1; SV2A; CHRNB2; GABRB1; VKORC1; ADORA2B; HDAC3; SCN5A; HTR3E; HTR3D; MAPT; HDAC2; CSF2RA; AGER; PSENEN; ADORA3
Anal Squamous Cell Carcinoma,TUBB4A; TUBB2A; CTLA4; PDCD1; TUBB1; TUBB6; TYMS; TUBB4B; TUBB2B; TUBB; TUBB3; TUBB8
"Anemia, Hemolytic, Autoimmune",PSMB5; NR3C1; CD38; IL2RA; MS4A1; IL2RB; CD52; PIK3CD; BTK; FKBP1A; FCGRT; SYK
Aplastic anemia,POLD1; TGFB2; POLE2; NR3C1; CD2; CSF3R; TGFB3; PRIM2; POLE3; MS4A1; RRM1; CD52; POLE; MPL; CXCR4; DNMT1; IL2RA; AR; POLD4; PRIM1; CD38; POLA2; FKBP1A; POLA1; TGFB1; IMPDH1; POLD2; DNMT3A; IMPDH2; DHFR; POLD3; PGR; PPIA
Apnea,ADORA1; ADORA3; ADORA2A; PDE3B; ADORA2B; PDE4B; PDE4A; PDE3A; PDE4C; PDE4D
Arthropathy,SCN2A; SCN7A; SCN9A; SCN4A; CNR1; SCN1A; SCN3A; SCN11A; SCN5A; SCN8A; PLG; SCN10A
Ascites,NDUFB7; VEGFA; KDR; NDUFA9; NDUFS6; NDUFAF2; NDUFB6; NDUFB8; NDUFS5; NDUFA3; PDCD1; MT-ND4; NDUFAB1; NDUFS1; FLT4; NDUFS8; PDGFRB; NDUFA8; PDGFRA; NDUFAF1; NDUFB10; NDUFC2; KIT; NDUFS4; RET; NDUFAF3; NDUFV2; NDUFA12; NDUFA6; NDUFA4; MT-ND5; MT-ND3; MT-ND1; NDUFB2; FLT1; NDUFC1; NDUFS7; NDUFB3; EPCAM; FLT3; NDUFA1; AVPR2; NDUFB11; NDUFB9; CD3G; NDUFA11; CSF1R; NDUFA13; CD3E; NDUFA7; NDUFB4; GPD2; NDUFAF4; NDUFA5; NDUFA10; NDUFA2; NDUFB5; SLC5A2; NDUFS2; NDUFV3; CD3D; NDUFV1; NDUFB1; NDUFA4L2; MT-ND6; MT-ND2; MT-ND4L; NDUFS3
Asperger syndrome,DRD2; GRIN2C; GRIN1; GRIN3A; GRIN2B; HTR2A; GRIN3B; HTR1A; GRIN2A; GRIN2D
Autosomal dominant polycystic kidney disease,ABL1; HCK; NDUFS8; HMGCR; GPD2; NDUFA8; NDUFA2; NDUFB5; NDUFAF1; NDUFB9; CACNA1D; NDUFV3; SSTR5; NDUFS4; NDUFB8; NDUFA3; BCR; EPHB4; SRC; NDUFB7; NDUFS7; NDUFB3; NDUFAF4; ERBB2; NDUFS6; NDUFB11; UGCG; NDUFS2; ACE; NDUFA11; NDUFAF3; SSTR2; NDUFA13; MT-ND6; MT-ND2; MT-ND4; MT-ND1; MT-ND4L; NDUFS3; NDUFAB1; NDUFS1; CACNA1S; CACNA1F; NDUFC1; AVPR2; NDUFA5; NDUFA10; SSTR4; SLC5A2; CACNA1C; NDUFC2; NDUFB6; NDUFB1; NDUFA12; NDUFA6; NDUFA4L2; MT-ND5; MT-ND3; LYN; NDUFB4; FKBP1A; NDUFB2; NDUFA1; NDUFA9; SSTR1; NDUFB10; EGFR; NDUFAF2; NDUFV1; NDUFS5; NDUFV2; NDUFA4; NDUFA7; SSTR3
B-Cell Prolymphocytic Leukemia,POLA1; PRIM2; POLE; POLE2; POLD2; RRM1; PRIM1; POLA2; POLD1; POLD3; IMPDH1; POLD4; IMPDH2; POLE3; PPIA
B-cell acute lymphoblastic leukemia,POLA2; POLD1; ABL1; TUBB4A; POLD2; CSF3R; PPAT; PRIM2; POLE3; MS4A1; CD3D; POLD4; TUBB6; CD19; TUBB4B; PDCD1; PRIM1; CD3E; TUBB8; CD22; POLD3; POLE2; POLA1; TUBB2A; PTK2; BCL2; TUBB; TOP2B; PSMB5; TUBB1; NR3C1; TUBB2B; CD3G; RRM1; CD52; POLE; PNP; DHFR; TUBB3; PDGFRB; TOP2A; KIT; XDH; IL6R; BCR
B-cell neoplasm,TOP2A; CUL4A; TOP2B; RBX1; CRBN; TUBB2B; DDB1; TUBB8; TUBB4A; NR3C1; TUBB2A; MS4A1; TUBB1; TUBB6; TUBB4B; TUBB; TUBB3
B-cell non-Hodgkins lymphoma,CD22; POLA2; CRBN; MS4A1; CD3G; CD3D; DDB1; POLE; PDCD1; RBX1; POLD2; PRIM2; RRM1; POLD4; POLE2; POLA1; PRIM1; POLD1; POLD3; CUL4A; POLE3; CD3E
Back pain,DDC; DRD3; HRH1; PLG; NGF; CHRM1; SLC6A2; GABBR2; PTGS2; GABBR1
Bardet-Biedl syndrome,NDUFB3; NDUFAF4; NDUFB5; NDUFB10; NDUFA3; MT-ND6; MT-ND2; MT-ND5; NDUFAB1; NDUFB11; NDUFV1; NDUFS5; NDUFA12; NDUFA4L2; MT-ND3; NDUFB2; NDUFS8; NDUFA8; NDUFB9; NDUFS2; NDUFV3; NDUFS4; NDUFA11; NDUFAF3; NDUFV2; NDUFA6; NDUFA13; NDUFA4; MT-ND4; MT-ND1; NDUFS1; NDUFB4; NDUFB7; NDUFC1; GPD2; NDUFS7; NDUFA1; NDUFA5; NDUFA10; NDUFA2; NDUFAF1; NDUFA9; NDUFS6; NDUFC2; NDUFAF2; NDUFB6; NDUFB8; NDUFB1; MT-ND4L; NDUFS3; NDUFA7
Barrett's esophagus,PTGS2; NDUFB2; ATP4A; GPD2; NDUFA10; NDUFS6; NDUFB6; NDUFV1; NDUFB1; NDUFA6; NDUFA4L2; MT-ND2; MT-ND5; MT-ND1; MT-ND4L; NDUFA7; NDUFS1; NDUFB7; NDUFA8; NDUFAF4; NDUFA1; NDUFA5; NDUFA2; NDUFAF1; NDUFC2; NDUFB8; NDUFA3; NDUFA11; NDUFAF3; NDUFV2; NDUFA13; MT-ND6; MT-ND4; NDUFAB1; NDUFB4; PTGS1; NDUFS8; VDR; NDUFS7; NDUFB5; AGTR1; NDUFB11; NDUFS2; NDUFV3; NDUFAF2; NDUFA12; NDUFS3; NR1H4; NDUFC1; CCKBR; NDUFB3; NDUFA9; NDUFB10; NDUFB9; ACE; NDUFS4; NDUFS5; NDUFA4; MT-ND3
Becker muscular dystrophy,RPL3; RPS16; RPL18A; RPL28; RPL34; RPS12; RPL24; RPS15; RPL22; RPS25; RPL21; RPL5; RPS10; RPL36; RPLP1; RPS2; RPL32; RPL37; RPL10; RPS3; FAU; RPL30; RPL26; RPL29; RPL9; RPS14; RPS9; RPL38; RPS27; RPS17; RPL35A; RPL37A; RPL12; RPL10A; RPS29; RPL36A; RPS20; RPS5; RPLP0; RPS19; RPS13; RPL23; RPS4Y1; RPL35; RPS24; MSTN; RPS11; RPS8; RPS27A; RPS3A; RPL7; RPL8; RPL13; RPSA; RPS4X; RPL41; RPS18; RPL17; RPL18; RPL31; RPL6; RPL27; RPS15A; RPS6; PDE5A; RPL13A; RPL7A; RPL27A; RPS21; RPL4; RPL15; RPS23; RPS26; RPL23A; RPS28; RPL19; RPL11; RPS7; RPL14; RPL39
Behcet's syndrome,TUBB4A; IL1B; IL6R; PDE3A; TUBB3; PDE4A; PDE8A; PDE6C; TUBB1; PDE4C; PDE8B; IL12B; PDE4D; PDE1A; TUBB2A; TUBB2B; IL18; PDE3B; MS4A1; CD80; PDE6A; PDE6B; IL2RA; PDE5A; PDE1C; PDE6D; PDE9A; ADORA2B; PDE7B; TUBB6; PDE4B; PDE2A; TUBB8; IL2RB; PDE10A; CD86; PDE1B; ADORA2A; PDE6H; PDE6G; TUBB4B; TUBB; PDE7A
Beta-thalassemia,POLD1; CSF3R; CUL4A; PRIM2; POLE3; DDB1; CD52; POLE2; POLA1; TGFB1; DNMT3A; POLD4; IMPDH2; PPIA; PRIM1; POLA2; ADRB1; FKBP1A; TGFB2; IMPDH1; POLD2; CRBN; TGFB3; CXCR4; DNMT1; RRM1; RRM2; POLE; EPOR; POLD3; RBX1; PDE9A; FDPS; SLC6A9
"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",POLA2; PRKCQ; HDAC4; POLD3; HDAC6; ABL1; NR3C1; PDGFRB; HDAC1; FLT3; KDR; PRKCI; WEE1; RRM1; HDAC3; BCL2; DHFR; LYN; PRKCH; FLT4; HDAC9; POLD1; FKBP1A; POLE2; TUBB1; POLA1; HDAC5; DNMT3A; PRKCG; DNMT1; TOP2A; PDGFRA; HDAC8; PRKCA; PRKCD; POLD4; PRKD1; BCR; HDAC2; SRC; PRIM1; PRKCZ; POLD2; CSF3R; IL2RA; PRIM2; POLE3; MS4A1; AXL; PRKCE; TUBB6; TUBB3; TUBB8; CD22; HDAC7; IL2RB; HDAC10; HCK; FLT1; TUBB4A; PRKD3; TUBB2A; TUBB2B; KIT; HDAC11; PRKCB; POLE; TUBB4B; TUBB
Borderline personality disorder,PTGS1; GRIN2D; GABRG2; GRIN3B; FAAH; DRD2; GRIN2A; GABRA5; PTGS2; NR3C1; HTR2C; GRIN2C; GABRG1; GRIN1; HTR1A; GABRG3; GABRA3; PGR; OPRK1; SLC6A4; OPRD1; TRPV1; GRIN3A; GABRA1; HTR2A; OPRM1; SNAP25; GABRA2; GRIN2B
Brain Stem Glioma,POLA1; POLD2; EGFR; POLE3; POLD4; PRIM1; POLD1; POLD3; POLE2; RRM1; CSF2RA; POLA2; PRIM2; POLE
Bronchiolitis,SLC12A1; nan; ADRA1B; ADRA2B; ADRB1; GUCY1B1; NR3C1; ADRA1D; ADRB3; VDR; ADRA1A; ADRA2A; ADRB2; CYSLTR1; ADRA2C
Burkitts lymphoma,BTK; CD22; RARB; FKBP1A; HDAC6; HDAC10; POLE2; TUBB1; POLA1; TUBB4A; IMPDH1; CRBN; HDAC1; CSF3R; PPAT; DNMT1; TUBB2A; CD3D; IMPDH2; TUBB4B; TUBB; PRIM1; TOP1; LYN; TUBB3; HDAC7; POLD1; HDAC4; TOP2B; ABL1; HCK; POLD2; NR3C1; SRMS; BLK; PRIM2; HDAC11; RRM1; DDB1; RARG; POLD4; TUBB6; BCR; PPIA; SRC; CSF2RA; CD3E; TUBB8; POLA2; HDAC9; HSP90AA1; AURKA; HSP90AB1; PSMB5; HDAC5; DNMT3A; TOP2A; TUBB2B; EPHA2; HDAC8; POLE3; MS4A1; KIT; CD3G; HDAC3; BCL2; POLE; CD19; LCK; HDAC2; DHFR; FGR; FYN; POLD3; RBX1; FRK; ALDH5A1; PDGFRB; RARA; CUL4A; YES1
COVID-19,CASP10; NDUFAB1; FYN; GABRA3; NR1H4; NDUFS1; KCNH2; GUCY1B1; NDUFB4; PDE4A; PDE8A; RARB; TOP2B; IL4R; PGR; FKBP1A; NDUFB2; ESR1; ANGPT2; PTGS1; TUBB1; CSNK2A1; HCK; JAK3; PDE4C; CDK6; IMPDH1; GCK; SLC6A4; GNRHR; NDUFS8; IL23A; ALDH2; VDR; OPRM1; PDE10A; NR3C1; NCBP2; GPD2; IL1RL1; OPRD1; FASLG; SERPINC1; NDUFB3; PLG; PDE1B; NDUFAF4; SRMS; IL1B; SRD5A3; NDUFA5; NDUFA10; F12; NDUFA2; RARA; PPARG; PDE6A; CHRM3; KLRC1; AGT; NDUFB5; SCN2A; BLK; TUBB2A; MMP13; CASP6; IFNAR1; EPHA2; SCN1A; TRPM8; AGTR1; SRD5A1; PIK3R1; DRD2; PDE3B; IFNAR2; IL6R; CCR5; CYP3A4; CYP3A7; JAK1; SYK; CASP7; NDUFB8; AXL; AR; P2RY12; CXCL8; SCN9A; S1PR1; PDE3A; CYSLTR1; GRIN1; NDUFAF3; S1PR5; SCN5A; NDUFA12; NDUFA6; SCN10A; IFNLR1; PDE6G; NDUFA13; PDE2A; PPARA; NDUFA4; TUBB; TLR7; TRPV1; ELANE; CSF2RA; MT-ND6; CD3E; BRD2; CASP12; PDE7A; TLR9; IL10RB; TUBB8; S1PR2; FGR; SELE; MASP2; BTK; CYP3A43; PIK3CB; CALCRL; FGFR2; CACNA1S; XPO1; F11; PDE6C; JAK2; RBX1; DHODH; KCNN4; TUBB4A; TYK2; PIK3R2; CYP3A5; VEGFA; SLC29A1; PDE8B; PDE4D; HRH2; PIKFYVE; PDE1A; TACR1; PIK3R3; FAAH; CSF3R; nan; TREM1; NDUFA1; KDR; MAS1; DNMT1; TOP2A; LGALS3; SCN7A; TUBB2B; MMP7; NDUFAF1; BRDT; PDE5A; CUL4A; ESR2; NDUFS6; EGFR; NDUFB11; ADM; DRD3; NR3C2; GABRA2; SCN3A; PDE1C; PDE6D; NDUFS2; FGFR4; ADORA1; NDUFS4; TLR3; KLKB1; CSF2; DDB1; SLC22A11; SCN11A; CHRM1; ADRA1B; ADORA2B; CD14; PDE7B; ADRA1D; RARG; TUBB6; YES1; NDUFV2; GABRG3; C1S; GRIN2A; PDE4B; TUBB4B; PPIA; MME; MMP1; HRH1; SCN8A; CASP4; IRAK4; MT-ND4; AGER; NDUFS3; DHFR; ITGB3; NDUFA7; GRIN2B; ADORA3; SCN4A; GABRA1; FLT4; FGFR1; KEAP1; OPRK1; AKR1B1; ABL1; NDUFB7; CACNA1F; HTR2A; TRPA1; IKBKB; CASP14; GRIN2D; PIK3CG; CASP2; C5; NDUFC1; FRK; HMGCR; GABRG2; CRBN; CD86; IL1R1; NFE2L2; MMP8; CNR1; CCN2; CCR2; PIK3CA; PTGER2; S1PR4; F10; ADORA2A; CASP9; PDE6B; MTNR1B; CDK4; EDNRB; NCBP1; TLR2; CASP1; PDE6H; SLC5A2; NDUFB10; PIK3R5; BRD4; ADRA2A; CACNA1C; NDUFC2; EDNRA; CACNA1D; KIT; PDE9A; GRIN2C; GABRG1; NDUFAF2; CASP3; NDUFB6; CD3D; NDUFV1; BDKRB2; MTNR1A; NDUFS5; ADRB2; BRD3; NDUFA3; OXTR; LCK; NDUFB1; NDUFA4L2; PDCD1; IL1RAP; CFD; SLC22A6; MT-ND2; GRIN3A; MT-ND5; MTOR; MT-ND3; MT-ND1; MT-ND4L; TUBB3; SRD5A2; ITGA2B; TBXA2R; CASP8; FGFR3; DRD4; PTGS2; ACHE; CETP; CSF2RB; EEF1A2; TLR8; FLT1; LTA4H; IFNG; IL17A; PDGFRB; NDUFS7; GRIN3B; NDUFA8; DNMT3A; ADRA1A; CD80; RAMP1; PDGFRA; IL6; CASP5; NDUFA9; IL22RA1; NDUFB9; SLC22A8; ACE; PTGIR; NDUFV3; CD3G; PTGER1; NLRP3; PTGDR; INSR; PIK3CD; SELP; NDUFA11; PTGDR2; ADRA2C; TOP1MT; GABRA5; BCR; PLA2G2A; SRC; C5AR1; IGHE; S1PR3; TNF; LYN; ADRA2B
Cachexia,JAK1; DDB1; JAK2; RBX1; ACVR2B; GHSR; CUL4A; IL6; CRBN; AR
Castleman disease,BTK; TUBB1; TUBB4A; NR3C1; CRBN; MS4A1; TUBB; TUBB8; FKBP1A; RBX1; PSMB5; IL6; TUBB2A; TUBB6; TOP2B; TOP2A; TUBB2B; IL6R; TUBB4B; CUL4A; DDB1; TUBB3
Central Nervous System Lymphoma,BTK; TOP2B; XPO1; RBX1; PIK3CG; POLD2; NR3C1; CD274; PIK3CA; CUL4A; PRIM2; MS4A1; PIK3CD; POLD4; TYMS; PRIM1; DHFR; POLA2; POLD3; PIK3R2; CRBN; CSF3R; RRM1; DDB1; PDCD1; PIK3CB; POLE2; POLA1; GSR; PIK3R3; POLE3; GART; POLE; CD19; POLD1; TOP2A; PIK3R5; PIK3R1
Central Nervous System Neoplasm,CACNA1G; POLA2; PARP3; ERBB3; IL4R; POLD3; EPHA6; GSK3B; ANGPT2; ABL1; TUBB1; POLA1; FLT1; TUBB4A; ALDH5A1; PDE8B; CRBN; PIK3R3; TUBA4A; ADORA2A; EPHA7; TUBB2A; TUBB2B; PDE6H; CUL4A; EGFR; EPHA1; POLE3; PDE3B; GRIA1; RRM1; TUBA1C; DDB1; BDKRB2; PIK3CD; POLD4; TUBB6; CSF1R; EPHB3; CHEK2; PDE4B; PDE6G; TOP1; PDE7A; HBB; TUBB3; TUBB8; FGR; POLD1; EPHA8; PDE8A; TOP2B; FKBP1A; PDE6C; POLE2; PSMB5; PTK6; DHODH; GSR; EPHB6; HDAC1; SERPINC1; FLT3; IL13RA2; PARP2; PDE6B; IL2RA; PDE5A; ERBB2; EPHA2; PRIM2; CHEK1; FCGR1A; EDNRA; PDE6D; RET; FNTA; ADORA2B; HDAC3; RRM2; YES1; TYMS; ERBB4; TOP1MT; HBA2; TUBB; EPHB4; CACNA1H; SRC; CSF2RA; TXNRD1; CD3E; HBA1; DHFR; FYN; FLT4; RRM2B; PIK3CB; PDE4A; PTGS2; ACHE; ESR1; HDAC6; IL2RB; PIK3R2; PIK3CG; POLD2; VDR; FRK; VEGFA; FGF1; NR3C1; PDGFRB; EPHA4; CSF3R; PDE1B; SRMS; KDR; PPARG; IMPA1; PDGFRA; ITGAV; PARP1; ITGB1; PDE1C; BRAF; ITGA5; TUBA1A; AXL; POLE; LCK; BCR; TUBB4B; PRIM1; TLR9; ITGB3; TNC; EPHA3; ITGB5; CACNA1I; RBX1; HCK; PDE4C; GSK3A; PDE10A; PDE4D; PDE1A; TEK; CD274; GRIA2; PIK3CA; TUBA1B; IL13RA1; TOP2A; RAF1; PDE6A; EPHB2; BLK; PIK3R5; TP53; EPHA5; PIK3R1; TUBA3E; ANGPT1; EPHB1; KIT; PDE9A; PRKCB; PDE7B; PDE3A; EPHA10; PDE2A; HDAC2; TLR7; TUBA3C; LYN; FNTB
Charcot-Marie-Tooth disease,SCN2A; SCN1A; SCN10A; SCN4A; SCN7A; SCN11A; SCN9A; AKR1B1; SCN3A; SCN5A; SCN8A
Chemotherapy-induced nausea and vomiting,ATP1A2; NR3C1; HTR1B; TUBB2B; SCN3A; VKORC1; HTR1E; HTR1A; TUBB; PTGS2; PTGS1; TUBB1; TUBB4A; PPARG; SCN7A; HTR7; HTR3B; HTR3A; TUBB6; GABRG3; SCN5A; TRPV1; GABRA3; ATP1A3; GABRG2; ATP1A4; SCN2A; TUBB2A; HTR2C; DRD2; DRD3; GABRA2; HTR5A; HTR3C; HTR1D; SCN10A; SCN4A; ALOX5; GABRA1; DRD4; HTR2A; TACR1; HTR2B; SCN1A; HTR6; GABRG1; ATP1A1; HTR4; SCN11A; SCN9A; HTR1F; HTR3E; HTR3D; GABRA5; TUBB4B; SCN8A; TUBB3; TUBB8
Chronic pain,DRD4; PTGS2; OPRK1; SLC6A2; CA2; GRIN2D; OPRM1; CNR1; ADRA1A; ADORA2A; CA1; SCN2A; SCN7A; SLC6A3; DRD3; GABRA2; CACNA2D1; GABRG1; ADORA1; SCN11A; ADRB2; ADORA2B; GRIN1; GABRG3; GRIN2A; TRPV1; ABCC8; GABRA3; GABRA1; CA12; ATP4A; GABRG2; FAAH; SNAP25; SCN1A; ADRA2A; SCN3A; CA4; GRM5; SCN9A; ADRA1D; GRIN3A; GRIN2B; SCN4A; HMGCR; NR3C1; GRIN3B; DDC; NGF; GRIN2C; ADRA1B; OXTR; SCN5A; SCN10A; GABRA5; SCN8A; ADORA3; ADRB1; PTGS1; SLC6A4; OPRD1; DRD2; ADRA2C; KCNJ11; ADRB3; ADRA2B
