disease_name,gene_name
Acute kidney injury,GABRA3; GSK3B; KCNK10; PDE4C; MET; HMGCR; PDE4D; TNNC1; PTGER2; AVPR2; TNNI3; IMPA1; MTNR1B; GABRA6; ADRA2A; GABRA2; PDE3B; PDE9A; GABRG1; ADORA1; AVPR1A; NPR1; KCNK9; ADRA1B; ADRA1D; PDE6G; PDE2A; PPIA; AVPR1B; PDE7A; MC1R; GABRQ; GABRA1; PDE4A; PDE8A; SLC12A1; GABRP; GABRE; GSK3A; PDE10A; PDE8B; GABRG2; PDE1A; SERPINC1; TNNT2; ADRA1A; MC3R; ADORA2A; SLC5A2; TP53; XDH; GABRB3; INSR; PDE7B; PDE3A; GABRA5; KCNK18; EPOR; ADORA3; KCNK2; PDE6C; FGF1; PDE1B; PDE6A; PDE6B; PDE5A; PDE6H; GABRB2; GLRA1; NR3C2; PDE6D; GABRB1; MTNR1A; ADORA2B; GABRG3; ADRA2C; PDE4B; DRD1; GABRD; ADRA2B; GUCY1B1; GABRA4; VDR; nan; AGTR1; PDE1C; PTGER1; KCNK3
Adenomyosis,PTGS2; PGR; PTGS1; GNRHR; FAAH; OXTR; TRPV1; ESR1; NR3C1; CYP19A1
Agitation,SCN4A; GABRA3; GABRA1; KCNK10; GABRA4; OPRM1; ALDH5A1; GABRG2; GRIN3B; SCN7A; SCN1A; HTR2C; DRD2; DRD3; GABRA2; GABRG1; GRIN1; GABRG3; SCN5A; ADRA2C; ADRA2B; DRD4; KCNK2; HTR2A; GRIN2D; SLC6A4; MTNR1B; SCN2A; ADRA2A; GRIN2C; SCN11A; SCN9A; CHRNA7; HTR1A; GABRA5; CHRNG; SCN8A; GABRP; GABRE; CHRNE; OPRD1; CHRND; CHRNA1; GLRA1; SCN3A; HTR4; GABRB3; MTNR1A; GRIN2A; GABRD; GABRQ; GRIN2B; OPRK1; GABRA6; GABRB2; GABRB1; CHRM1; KCNK9; CHRNB1; KCNK3; SCN10A; KCNK18; GRIN3A
Airway obstruction,PDE4C; PDE4D; ADRA1A; ADRB2; ADRA1B; ADRA2C; PDE4B; IGHE; ADRA2B; ADORA3; ADRB1; PDE10A; IL5; ADORA2A; PDE3B; CYSLTR1; PDE4A; NR3C1; TSLP; ADORA1; ADORA2B; ADRA1D; PDE3A; IL5RA; CHRM3; PDE5A; ADRA2A; CHRM1; ADRB3
Albright hereditary osteodystrophy,GHR; PDE4D; ADORA2B; PDE4A; PDE4C; PDE3B; ADORA1; ADORA2A; PDE3A; PDE4B; ADORA3
Alport syndrome,RPS20; RPLP0; RPL18A; NDUFC1; RPL34; GPD2; RPS15; NFE2L2; NDUFAF4; RPL23; RPLP1; RPS24; NDUFB10; RPS3A; NDUFB11; RPL7A; FAU; NDUFV3; NDUFAF2; RPL13; RPS21; RPL38; NDUFV2; RPS17; NDUFA12; NDUFA6; NDUFA4L2; RPL23A; MT-ND5; MT-ND3; MT-ND1; MT-ND4L; RPS29; KEAP1; NDUFS8; RPS25; PPARG; RPL35; RPS6; NDUFA9; RPS2; RPS11; RPL32; AGTR1; NDUFS6; RPS3; RPL30; NDUFS2; NDUFS4; NDUFB6; RPL4; NDUFAF3; RPL35A; RPL10A; MT-ND2; MT-ND4; NDUFS3; RPL41; RPS18; RPS28; RPL17; NDUFA7; NDUFAB1; RPL18; NDUFB4; RPL6; NDUFB2; NDUFB7; RPL3; RPS19; RPS13; RPS12; RPL24; NDUFS7; RPL22; NDUFB3; NDUFA8; RPL21; RPL5; NDUFA5; RPS4Y1; NDUFA10; RPL27; RPL11; RPL10; RPL7; NDUFB9; RPL26; RPL9; RPS14; NDUFB8; RPSA; RPS9; RPL15; RPS27; RPS23; RPL14; RPL37A; RPS4X; MT-ND6; RPL36A; NDUFS1; RPL31; RPS5; IKBKB; RPS16; RPL28; RPL19; HMGCR; RPS10; NDUFA1; RPL36; NDUFA2; RPS15A; NDUFB5; NDUFAF1; RPL13A; RPS8; RPS27A; RPL37; NDUFC2; ACE; RPL8; RPL29; RPL27A; NDUFV1; NDUFS5; NDUFA3; RPS7; NDUFA11; NDUFB1; NDUFA13; NDUFA4; RPS26; RPL12; RPL39; nan
Alzheimer disease,SCN4A; FGFR3; DRD4; PSEN1; CACNA1S; ESR1; PTGS1; RBX1; HRH3; HTR2A; SLC6A2; SLC6A4; PPARD; MAPK14; PDE4D; BCHE; APH1A; HSD11B1; GRIA2; CHRNA10; MTNR1B; HCRTR2; APH1B; APP; SLC6A3; PSEN2; GABRA6; GABRB2; PLA2G7; DRD3; GABRA2; CACNA2D1; HTR6; IFNAR2; ACE; PDE9A; NCSTN; GABRB3; MTNR1A; ADRB2; CHRNA5; RARG; CHRNA7; GRIN1; HTR1A; GABRG3; GRIN2A; ADRA2C; BACE1; GRIN3A; AGER; GABBR1; TNF; GABRA3; GABRA1; RARB; PGR; ACHE; IL2RB; GSK3A; GABRA4; VDR; ALDH5A1; HMGCR; GABRG2; NR3C1; PDGFRB; CRBN; GRIN3B; MMP8; ADORA2A; IL2RA; SCN2A; GABBR2; CUL4A; SCN1A; AGTR1; HTR2C; CHRNA6; SIGMAR1; HTR3B; GRIA4; SCN3A; CACNA1D; KIT; GRIN2C; HTR4; PAH; SCN10A; BCR; ADRB3; MMP1; SCN8A; SRC; GABRQ; GRIN2B; PTGS2; ABL1; CHRNA4; GRIN2D; GLP1R; FAAH; ADRA1A; HCRTR1; PDE5A; ESR2; IFNAR1; RXRG; CACNA1B; DRD2; ADRA2A; CACNA1C; GRIA1; GABRG1; ADORA1; HTR3A; DDB1; SCN11A; SCN9A; ADORA2B; ADRA1D; CYSLTR1; HTR3C; CHRM2; GABRA5; GABRD; TRPV1; FLNA; RXRB; PSENEN; ADRA2B; CD38; ADRB1; MAOB; GSK3B; CETP; GABRP; CACNA1F; GABRE; GNRHR; CNR1; GRIA3; RARA; PPARG; CHRM3; IMPA1; PDGFRA; SCN7A; MMP7; MMP13; SV2A; CHRNB2; GABRB1; CHRM1; ADRA1B; INSR; PDE3A; CHRNA9; SCN5A; HTR3E; HTR3D; RXRA; MAPT; CSF2RA; ADORA3
Anal Squamous Cell Carcinoma,TUBB4A; TUBB2A; CTLA4; PDCD1; TUBB1; TUBB6; TYMS; TUBB4B; TUBB2B; TUBB; TUBB3; TUBB8
"Anemia, Hemolytic, Autoimmune",FCGR2B; PSMB5; NR3C1; PIK3CD; MS4A1; CD19; PPIA; SYK; CD52; C1S; BTK; FKBP1A; FCGRT; TNFRSF13C
Angelman syndrome,GABRA3; GABRA1; GABRA4; GABRA6; GABRB2; GABRA2; GABRB3; GABRB1; DRD3; GABRA5
Anorexia,TUBB2A; HTR2C; DRD2; DRD3; HTR3A; TUBB; DRD4; PGR; ALDH5A1; CNR1; ADRA2A; HTR4; ADRA2C; TUBB8; TUBB1; HTR2A; TUBB2B; TUBB6; TUBB4A; TUBB4B; TNF; TUBB3; ADRA2B
Aphasia,ACHE; DRD3; GRIN3A; SLC6A4; GRIN1; GRIN2A; GRIN2B; GRIN3B; DDC; GRIN2D; GRIN2C
Aplastic anemia,POLD3; TGFB2; POLE2; POLA1; NR3C1; CSF3R; TGFB3; PRIM2; MS4A1; CD52; PPIA; MPL; CXCR4; DNMT1; IL2RA; POLE3; RRM1; POLD4; PRIM1; POLA2; FKBP1A; TGFB1; IMPDH1; POLD2; DNMT3A; IMPDH2; DHFR; POLD1; POLE
Apnea,ADORA1; HTR1A; ADORA3; CA2; ADORA2A; PDE3B; CA4; KCNK3; PDE4B; PDE4A; CA12; KCNK9; ADORA2B; PDE3A; PDE4C; PDE4D; CA1
Arthralgia,PTGS2; XDH; ADRA1B; ADRA1D; HRH1; PTGS1; NR3C1; ADRA2A; ADRA2C; TRPV1; ALOX5; HRH2; ADRA1A; TRPA1; TRPM8; ADRA2B
Arthropathy,PTGS2; CHRND; SCN2A; SCN7A; SCN3A; SCN9A; SCN8A; SCN4A; CHRNE; PLG; CHRNA1; SCN1A; OPRK1; OPRM1; NR3C1; SCN11A; CHRNB1; SCN5A; OPRD1; SCN10A; CHRNG
Ascites,NDUFB7; ADRA1A; KDR; NDUFA9; NDUFS6; NDUFAF2; NDUFB6; NDUFB8; NDUFS5; NDUFA3; MT-ND4; NDUFAB1; NDUFS1; FLT4; ADRB1; NDUFS8; VEGFA; PDGFRB; NDUFA8; PDGFRA; NDUFAF1; NDUFB10; NDUFC2; KIT; NDUFS4; RET; NDUFAF3; NDUFV2; NDUFA12; NDUFA6; NDUFA4; MT-ND5; MT-ND3; MT-ND1; NDUFB2; FLT1; NDUFC1; NDUFS7; NDUFB3; EPCAM; FLT3; NDUFA1; AVPR2; NDUFB11; NDUFB9; CD3G; ADRB2; ADRA1B; ADRA1D; NDUFA11; CSF1R; NDUFA13; CD3E; NDUFA7; NDUFB4; GPD2; NDUFAF4; NDUFA5; NDUFA10; NDUFA2; NDUFB5; SLC5A2; NDUFS2; NDUFV3; CD3D; NDUFV1; NDUFB1; NDUFA4L2; MT-ND6; MT-ND2; MT-ND4L; NDUFS3
Asperger syndrome,HTR2C; DRD2; GRIN2C; GRIN1; GRIN3A; GRIN2B; HTR2A; SLC6A2; SLC6A4; GRIN3B; HTR1A; GRIN2A; GRIN2D
Ataxia-telangiectasia,NDUFB2; NDUFS7; NDUFA1; NDUFA2; PPARG; NDUFB10; NDUFB9; NDUFA4L2; MT-ND1; GPD2; NDUFB3; NDUFAF1; NDUFS6; NDUFB11; NDUFAF2; NDUFA3; NDUFA11; NDUFA13; MT-ND4; NDUFS1; NDUFC1; NDUFS8; NDUFA8; NDUFAF4; NDUFA9; NDUFC2; NDUFS2; NDUFV1; NDUFV2; NDUFB1; NDUFA12; NDUFA6; NDUFA4; MT-ND6; MT-ND5; NDUFS3; NDUFAB1; NDUFB4; NDUFB7; NDUFA5; NDUFA10; NDUFB5; NDUFV3; NDUFS4; NDUFB6; NDUFB8; NDUFS5; NDUFAF3; MT-ND2; MT-ND3; MT-ND4L; NDUFA7
Autosomal dominant polycystic kidney disease,CACNA1S; NDUFB2; ABL1; NDUFB7; HCK; CACNA1F; IKBKB; NDUFS8; HMGCR; GPD2; NFE2L2; NDUFA8; NDUFA2; NDUFB5; NDUFAF1; NDUFB9; CACNA1D; NDUFV3; SSTR5; NDUFS4; NDUFB6; NDUFB8; NDUFV1; NDUFA3; NDUFAF3; NDUFV2; BCR; SRC; MT-ND2; SSTR3; SCNN1A; NDUFS7; NDUFB3; NDUFAF4; NDUFA1; PPARG; ERBB2; NDUFS6; NDUFB11; UGCG; NDUFC2; NR3C2; NDUFS2; ACE; NDUFA11; SSTR2; NDUFA12; NDUFA6; NDUFA13; EPHB4; MT-ND6; MT-ND3; MT-ND4; MT-ND1; MT-ND4L; NDUFS3; NDUFAB1; NDUFS1; FKBP1A; NDUFC1; AVPR2; NDUFA5; NDUFA10; SSTR4; SSTR1; SLC5A2; NDUFB10; CACNA1C; NDUFS5; NDUFB1; NDUFA4L2; NDUFA4; MT-ND5; LYN; NDUFB4; SLC12A3; KEAP1; NDUFA9; AGTR1; EGFR; NDUFAF2; NDUFA7
B-Cell Prolymphocytic Leukemia,POLA1; PRIM2; POLE; POLE2; POLD2; RRM1; PRIM1; POLA2; POLD1; POLD3; IMPDH1; POLD4; IMPDH2; POLE3; PPIA
B-cell acute lymphoblastic leukemia,POLD1; TUBB4A; POLE3; CD3G; CD3D; POLD4; PRIM1; CD3E; CD22; POLD3; POLE2; POLA1; TUBB2A; TUBB6; CD19; TUBB; POLA2; PSMB5; TUBB1; POLD2; NR3C1; CSF3R; TUBB2B; POLE; TUBB4B; TUBB3; TUBB8; TOP2A; PRIM2; DHFR
Back pain,SCN4A; GABRA3; GABRA1; PTGS2; SLC6A2; DDC; CHRND; SCN2A; SCN1A; DRD3; GABRB1; CHRNB1; SCN5A; KCNK18; HRH1; SCN8A; ADORA3; GABRP; PTGS1; TRPA1; SLC6A4; GABRA4; OPRM1; NR3C1; NGF; SCN7A; TRPM8; GABRA2; FDPS; PTH1R; GABRG1; ADORA1; CHRM1; SCN9A; GABRG3; TRPV1; GABRQ; KCNK2; GABRE; ADORA2A; GABBR2; CHRNA1; GABRB2; GLRA1; SCN3A; KCNK3; CHRNG; OPRK1; KCNK10; CHRNE; GABRG2; FAAH; GABRA6; GABRB3; SCN11A; KCNK9; ADORA2B; SCN10A; GABRA5; GABRD; GABBR1
Bardet-Biedl syndrome,NDUFB3; NDUFAF4; NDUFB5; NDUFB10; NDUFA3; MT-ND6; MT-ND2; MT-ND5; NDUFAB1; NDUFB11; MC4R; NDUFV1; NDUFS5; NDUFA12; NDUFA4L2; MT-ND3; NDUFB2; NDUFS8; NDUFA8; NDUFB9; NDUFS2; NDUFV3; NDUFS4; NDUFA11; NDUFAF3; NDUFV2; NDUFA6; NDUFA13; NDUFA4; MT-ND4; MT-ND1; NDUFS1; NDUFB4; NDUFB7; NDUFC1; GPD2; NDUFS7; NDUFA1; NDUFA5; NDUFA10; NDUFA2; NDUFAF1; NDUFA9; NDUFS6; NDUFC2; NDUFAF2; NDUFB6; NDUFB8; NDUFB1; MT-ND4L; NDUFS3; NDUFA7
Becker muscular dystrophy,RPS5; RPLP0; RPL3; RPS16; RPL18A; RPL28; RPL19; RPL34; RPS13; RPS12; RPL24; RPS15; RPL22; RPS25; RPL21; RPL5; RPS10; RPL36; RPLP1; RPS2; RPS8; RPL32; RPS3A; RPL37; RPL10; RPL7; RPS3; FAU; RPL30; ACE; RPL26; RPL29; RPL9; RPS14; RPL27A; ADRA1B; RPS9; RPL38; RPL15; RPS27; RPS17; RPL35A; RPS26; RPL37A; RPL12; RPL10A; RPS29; RPL41; RPL36A; RPS20; RPL18; RPL31; RPS19; ADRA1A; RPL23; RPS4Y1; RPL27; RPL35; RPS6; RPS24; PDE5A; RPS11; RPS27A; RPL8; RPL13; RPSA; ADRB2; RPL4; RPS4X; RPS18; RPS28; RPL17; ADRB1; RPL6; RPS15A; RPL13A; RPL11; RPL7A; RPS21; RPS7; ADRA1D; RPS23; RPL14; RPL23A; ADRB3; RPL39
Behcet's syndrome,TUBB4A; PDE4C; IL6R; PDE3A; TUBB3; PDE4A; PDE8A; PDE6C; TUBB1; IL17A; PDE8B; IL12B; PDE4D; PDE1A; IL1B; TUBB2A; TUBB2B; IFNAR1; IL18; PDE3B; MS4A1; PDE4B; TNF; PDE6A; PDE6B; IL2RA; PDE5A; PDE1C; PDE6D; IFNAR2; PDE9A; ADORA2B; PDE7B; TUBB6; PDE2A; PPIA; TUBB8; IL2RB; PDE10A; PDE1B; ADORA2A; PDE6H; PDE6G; TUBB4B; TUBB; PDE7A
Beta-thalassemia,POLD1; TGFB1; CUL4A; POLE3; DDB1; HBB; POLE2; POLA1; DNMT3A; PDE5A; PRIM2; POLD4; PRIM1; ADRB1; TGFB2; POLD2; CRBN; TGFB3; DNMT1; CD52; RRM2; POLE; EPOR; POLA2; POLD3; FKBP1A; RBX1; PKLR; PDE9A; FDPS; RRM1; SLC6A9
Bilateral tonic-clonic seizure,SCN2A; CACNA1B; GRIA1; SV2A; SCN11A; SCN3A; SCN10A; SCN4A; GRIA2; GRIA3; GRIA4; SCN9A; SCN5A; SCN7A; SCN1A; CACNA2D1; SCN8A
"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",PRKCQ; ABL1; NR3C1; PDGFRB; FLT3; PRKCI; BCL2; DHFR; POLA2; PRKCH; POLD1; TUBB1; POLA1; DNMT3A; PRKCG; KDR; DNMT1; TOP2A; PDGFRA; PRKCA; PRKCD; POLD4; PRKD1; PRIM1; PRKCZ; POLD3; POLD2; PRIM2; POLE3; AXL; PRKCE; TUBB6; BCR; TUBB3; TUBB8; POLE2; TUBB4A; PRKD3; TUBB2A; TUBB2B; MS4A1; KIT; PRKCB; POLE; TUBB4B; TUBB
Borderline personality disorder,MAOB; PTGS1; HTR2A; GRIN2D; SLC6A4; GABRG2; GRIN3B; OPRD1; FAAH; SCN2A; DRD2; SCN3A; SCN11A; GRIN2A; GABRA5; DRD4; PTGS2; NR3C1; HTR2C; GRIN2C; GABRG1; GRIN1; HTR1A; GABRG3; GABRA3; PGR; OPRK1; OPRM1; SCN7A; SCN1A; SCN9A; SCN5A; SCN10A; TRPV1; GRIN3A; SCN4A; GABRA1; SNAP25; DRD3; GABRA2; SCN8A; GRIN2B
Bradycardia,CHRNE; CHRM3; ADRA2C; ADRB3; ADRB1; CHRND; CHRNA1; ADRA2A; ADRB2; CHRNB1; CHRM1; CHRM2; ADRA2B; ADRA1A; ADRA1B; ADRA1D; CHRNG
Bronchiectasis,PDE4A; CTSC; NR3C1; PDE3B; ADRB2; PDE4B; ELANE; PDE4C; ADORA2A; CHRM3; ADORA1; IL5RA; VDR; HMGCR; PDE4D; ADORA2B; PDE3A; ADORA3; CHRM1
Bronchiolitis,SLC12A1; ADRA1A; nan; ADRA1B; ADRA1D; CYSLTR1; ADRA2B; ADRB1; GUCY1B1; NR3C1; ADRB3; VDR; ADRA2A; ADRB2; ADRA2C
Bronchospasm,GRIN2D; OPRM1; NR3C1; ADRB2; CYSLTR1; GRIN2A; GRIN3A; GRIN2B; GRIN3B; CHRM3; GRIN2C; GRIN1
Brugada syndrome,KCNQ2; KCND1; KCNA7; KCNS1; KCNC3; KCNH3; KCNB1; KCNF1; KCNG4; KCNH8; KCNQ3; KCND2; KCNH7; KCNQ1; KCNA1; KCNA5; KCNH5; KCNA10; KCND3; KCNA2; KCNG2; KCNG1; KCNC4; KCNQ4; KCNC1; KCNH1; KCNA6; KCNS2; KCNC2; KCNS3; KCNH6; KCNB2; SCN5A; KCNQ5; KCNH2; KCNH4; KCNV1; KCNV2; KCNG3; KCNA3; KCNA4
Burkitts lymphoma,FKBP1A; IL2RB; HDAC10; POLE2; IMPDH1; CSF3R; TOP2A; TUBB2A; IMPDH2; TUBB; TUBB3; HDAC7; HDAC4; TOP2B; POLD2; NR3C1; IL2RA; MS4A1; HDAC11; POLD4; TUBB6; TUBB4B; PPIA; CSF2RA; TUBB8; POLA2; HDAC9; HDAC6; TUBB1; POLA1; TUBB4A; HDAC5; HDAC8; POLE3; RRM1; HDAC3; HDAC2; PRIM1; BTK; POLD1; POLD3; HDAC1; TUBB2B; PRIM2; POLE; DHFR
CDKL5 disorder,GABRG2; GABRB3; GABRG3; GABRD; GABRA4; GABRA2; GABRG1; GABRA5; GABRA1; GABRE; GABRA6; GABRB1; GABRQ; GABRA3; GABRP; GABRB2
COVID-19,NDUFAB1; BTK; FYN; GABRA1; NDUFS1; KCNH2; GUCY1B1; NDUFB4; PDE4A; DRD4; PDE8A; PTGS2; RARB; TOP2B; IL4R; NDUFB2; ESR1; ANGPT2; GABRP; PTGS1; HSP90AB1; ABL1; IL2RB; RBX1; TUBB1; CHRNA4; EEF1A2; CSNK2A1; HCK; GABRE; TUBB4A; GRIN2D; JAK3; CDK6; CYP3A5; IMPDH1; GCK; SLC6A4; GNRHR; CTSC; NDUFS8; IL23A; ALDH2; VDR; OPRM1; GHR; HMGCR; PDE4D; NR3C1; CRBN; NCBP2; GPD2; TACR1; IL1R1; IL1RL1; FASLG; SERPINC1; NDUFB3; CD80; FLT3; PLG; PDE1B; NDUFAF4; NDUFA1; SRMS; IL1B; SRD5A3; NDUFA5; NDUFA10; F12; NDUFA2; RARA; PPARG; PDE6A; CHRM3; KLRC1; NDUFB5; BLK; TUBB2A; MMP13; IFNAR1; EPHA2; SCN1A; AGTR1; SRD5A1; PIK3R1; GABRA6; GLRA1; NDUFB11; PDE3B; IL6R; CCR5; CYP3A4; CYP3A7; GRIN2C; JAK1; NDUFS4; KLKB1; CSF2; NDUFB8; GABRB3; AXL; NDUFV1; NDUFS5; AR; P2RY12; CXCL8; ADRA1B; S1PR1; INSR; RARG; CYSLTR1; SELP; TUBB6; GRIN1; NDUFAF3; NDUFV2; S1PR5; GRIN2A; NDUFB1; ADRA2C; NDUFA12; NDUFA6; IFNLR1; PDE6G; NDUFA13; GABRA5; PDE2A; PPARA; GABRD; TUBB4B; NDUFA4; TUBB; MMP1; TLR7; TRPV1; ELANE; CSF2RA; MT-ND6; MT-ND5; CD3E; MT-ND1; BRD2; PDE7A; NDUFS3; TLR9; IL10RB; TUBB3; TUBB8; S1PR2; GABRQ; FGR; MASP2; GABRA3; CYP3A43; ADRB1; PIK3CB; CALCRL; FGFR2; CACNA1S; XPO1; ACHE; F11; PDE6C; JAK2; NDUFB7; KCNN4; PIK3R2; PDE4C; C5; GABRA4; NDUFC1; PDE10A; VEGFA; SLC29A1; PDE8B; HRH2; CD86; PIKFYVE; PDE1A; GRIN3B; PIK3R3; FAAH; CSF3R; ADRA1A; TREM1; F10; KDR; DNMT1; TOP2A; AGT; NDUFAF1; BRDT; PDE5A; PDE6H; CUL4A; ESR2; SIGLEC10; NDUFS6; GABRB2; EGFR; ADM; CACNA1C; NDUFC2; NR3C2; SCN3A; LY96; PDE1C; PDE6D; NDUFS2; NDUFV3; CHRNB2; FGFR4; GABRG1; CXCR1; NDUFAF2; DDB1; SLC22A11; SCN11A; CHRM1; PCSK9; CD14; ADRA1D; PDE3A; YES1; C1S; SCN5A; SCN10A; NDUFA4L2; KCNK18; HRH1; DPP4; IRAK4; MT-ND4; AGER; ITGB3; NDUFA7; GRIN2B; ADRA2B; ADORA3; SCN4A; CD6; FLT4; FGFR1; KEAP1; HSP90AA1; OPRK1; AKR1B1; FKBP1A; KCNK10; CACNA1F; FLT1; DHODH; IKBKB; TYK2; PIK3CG; FRK; IL17A; GABRG2; NDUFS7; NFE2L2; OPRD1; MMP8; CCN2; NDUFA8; CCR2; PIK3CA; nan; PTGER2; S1PR4; MAS1; PDE6B; IL2RA; MTNR1B; CDK4; EDNRB; IL6; SCN7A; TLR4; NCBP1; TUBB2B; TLR2; MMP7; CASP1; SLC5A2; NDUFB10; PIK3R5; BRD4; NDUFB9; DRD2; ADRA2A; DRD3; EDNRA; GABRA2; CACNA1D; KIT; IFNAR2; PDE9A; GABRB1; SYK; NDUFB6; CD3D; BDKRB2; MTNR1A; ADRB2; KCNK9; BRD3; NDUFA3; KCNK3; PDE7B; F2; OXTR; GABRG3; LCK; PDE4B; MAPK11; BCR; PDCD1; HMGB1; IL1RAP; PPIA; SCN8A; CFD; SLC22A6; MT-ND2; GRIN3A; MTOR; MT-ND3; HSPA1B; MT-ND4L; SRD5A2; ITGA2B; TBXA2R; FGFR3; PGR; KCNK2; CETP; CSF2RB; TLR8; HTR2A; LTA4H; IFNG; MAPK14; PDGFRB; CNR1; DNMT3A; RAMP1; PDGFRA; SCN2A; NDUFA9; IL22RA1; SLC22A8; ACE; PTGIR; CD3G; PTGER1; NLRP3; PTGDR; SCN9A; PIK3CD; NDUFA11; CXCR2; PTGDR2; PLA2G2A; SRC; C5AR1; HSPA1A; IGHE; S1PR3; TNF; LYN
Cachexia,PGR; GHR; JAK1; TUBB4B; JAK2; TUBB4A; ACVR2B; GHSR; HTR2C; INSR; ADRA2C; TUBB3; TUBB1; HTR2A; IL6; TUBB2B; ADRA2A; TUBB6; ADRA2B; TUBB2A; AR; TUBB; TNF; TUBB8
Castleman disease,BTK; NR3C1; FKBP1A; RBX1; PSMB5; IL6; CRBN; TOP2A; IL6R; TOP2B; CUL4A; MS4A1; DDB1
